               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061456,            0.078021,             0.01967,             0.49957,             0.27455,             0.25954,             0.12012,            0.045705,            0.076707,            0.011662,           0.0033326,           0.0033326,            0.070007
                   1,            0.050271,            0.074202,            0.011388,             0.59288,             0.32018,             0.32863,             0.15485,            0.043223,            0.074737,           0.0094912,           0.0063359,           0.0063359,            0.039677
                   2,            0.048039,            0.073686,            0.010419,             0.64746,             0.34579,              0.3604,             0.17186,            0.042486,            0.074103,           0.0086891,           0.0090093,           0.0090093,           0.0090169
                   3,            0.046104,            0.073246,           0.0097978,              0.6404,             0.37216,             0.38267,             0.18473,            0.041506,            0.072718,           0.0079854,            0.008515,            0.008515,            0.008515
                   4,            0.044931,            0.072144,           0.0092634,             0.66335,              0.3794,             0.39732,             0.19355,            0.040946,            0.072015,           0.0075599,            0.008515,            0.008515,            0.008515
                   5,            0.044078,            0.071388,           0.0089168,             0.66363,             0.39092,             0.40736,             0.19941,            0.040505,            0.071409,           0.0073007,             0.00802,             0.00802,             0.00802
                   6,            0.043587,             0.07061,           0.0086677,             0.68963,             0.38767,             0.41553,             0.20404,            0.040222,             0.07102,           0.0071172,            0.007525,            0.007525,            0.007525
                   7,            0.043098,            0.070325,           0.0084334,             0.71125,             0.38449,              0.4219,             0.20722,            0.039989,             0.07067,           0.0069812,             0.00703,             0.00703,             0.00703
                   8,            0.042745,            0.069827,           0.0082432,             0.67821,             0.40363,              0.4244,             0.20997,            0.039815,            0.070412,           0.0068885,            0.006535,            0.006535,            0.006535
                   9,            0.042435,             0.06946,            0.008112,             0.69506,             0.39865,             0.42895,             0.21206,            0.039662,            0.070223,           0.0068021,             0.00604,             0.00604,             0.00604
                  10,            0.042117,            0.069003,           0.0080146,             0.70193,             0.39913,             0.43261,             0.21366,            0.039547,            0.070039,           0.0067334,            0.005545,            0.005545,            0.005545
                  11,            0.041884,            0.068926,           0.0078681,             0.70317,             0.40088,             0.43518,             0.21565,            0.039456,             0.06989,           0.0066783,             0.00505,             0.00505,             0.00505
                  12,            0.041601,             0.06867,           0.0077812,             0.69933,             0.40477,              0.4373,             0.21682,            0.039382,            0.069788,           0.0066401,            0.004555,            0.004555,            0.004555
                  13,            0.041408,            0.068101,           0.0076464,             0.68897,             0.41189,              0.4393,             0.21795,            0.039323,            0.069702,           0.0066105,             0.00406,             0.00406,             0.00406
                  14,             0.04106,            0.068038,           0.0075584,             0.69358,             0.41005,             0.44066,             0.21882,             0.03927,            0.069616,           0.0065837,            0.003565,            0.003565,            0.003565
                  15,            0.040923,            0.067866,           0.0074175,              0.7201,             0.39836,             0.44252,              0.2199,            0.039226,            0.069543,           0.0065586,             0.00307,             0.00307,             0.00307
                  16,            0.040632,            0.067359,           0.0073392,             0.70512,             0.40576,             0.44392,             0.22046,            0.039184,            0.069472,           0.0065333,            0.002575,            0.002575,            0.002575
                  17,            0.040377,            0.067121,           0.0071598,             0.70894,             0.40526,              0.4456,             0.22136,            0.039145,            0.069404,           0.0065104,             0.00208,             0.00208,             0.00208
                  18,            0.040063,            0.066746,           0.0070511,             0.70619,             0.40711,             0.44667,             0.22194,            0.039109,            0.069341,           0.0064879,            0.001585,            0.001585,            0.001585
                  19,            0.039872,            0.066144,           0.0069694,             0.70324,             0.40992,             0.44842,             0.22274,            0.039073,            0.069278,           0.0064667,             0.00109,             0.00109,             0.00109
