               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078626,            0.016168,             0.11071,             0.67379,            0.038367,           0.0056774,           0.0021911,            0.053603,            0.010523,             0.10461,           0.0033246,           0.0033246,            0.070079
                   1,            0.058201,           0.0099861,            0.096493,              0.6008,            0.088252,           0.0075516,           0.0037436,            0.062095,           0.0069575,            0.097847,           0.0064932,           0.0064932,            0.039914
                   2,            0.058248,           0.0081473,            0.091795,             0.74075,            0.073655,            0.011161,           0.0056091,            0.046055,           0.0067676,            0.095128,           0.0094967,           0.0094967,            0.009584
                   3,            0.051786,           0.0074336,            0.090893,             0.87014,            0.043828,            0.019649,            0.010296,             0.04238,           0.0060206,            0.090968,           0.0092575,           0.0092575,           0.0092575
                   4,            0.045874,           0.0071238,            0.084522,             0.81663,            0.057835,            0.026696,            0.014418,            0.043844,           0.0060809,            0.087026,           0.0092575,           0.0092575,           0.0092575
                   5,            0.044983,           0.0070296,            0.081451,             0.86057,            0.063357,            0.037028,            0.021859,            0.038837,           0.0055483,            0.083468,             0.00901,             0.00901,             0.00901
                   6,            0.042451,           0.0067115,            0.078831,             0.84216,            0.068302,            0.040946,            0.024361,            0.036789,           0.0056507,               0.081,           0.0087625,           0.0087625,           0.0087625
                   7,            0.040796,           0.0063859,            0.077316,             0.81517,             0.10114,            0.049095,            0.030258,            0.036216,           0.0051934,             0.07804,            0.008515,            0.008515,            0.008515
                   8,            0.038609,           0.0061823,            0.072795,             0.82449,            0.091388,            0.055193,            0.034129,            0.035027,           0.0052331,            0.076193,           0.0082675,           0.0082675,           0.0082675
                   9,            0.039118,           0.0061944,            0.071861,             0.83936,            0.091786,            0.061716,            0.037753,            0.034365,           0.0049796,            0.074155,             0.00802,             0.00802,             0.00802
                  10,             0.03747,            0.006024,            0.068881,              0.8303,             0.10629,            0.073723,            0.046486,            0.034854,           0.0048654,            0.071498,           0.0077725,           0.0077725,           0.0077725
                  11,            0.035752,           0.0058241,            0.066333,             0.85142,             0.10491,            0.080299,            0.051135,            0.033092,           0.0047247,            0.069289,            0.007525,            0.007525,            0.007525
                  12,            0.037166,           0.0057706,            0.066395,             0.85027,              0.1089,            0.081516,            0.050987,            0.032821,            0.004847,            0.067758,           0.0072775,           0.0072775,           0.0072775
                  13,            0.036646,           0.0057672,            0.064028,             0.87393,            0.096739,            0.087074,            0.057575,            0.031859,           0.0046692,            0.066073,             0.00703,             0.00703,             0.00703
                  14,            0.036075,             0.00565,             0.06292,             0.83123,             0.11046,            0.091426,            0.058015,            0.032024,           0.0047455,            0.065023,           0.0067825,           0.0067825,           0.0067825
                  15,            0.034842,           0.0057037,            0.062612,             0.84549,             0.12052,            0.094213,            0.060662,            0.031928,           0.0046041,            0.063871,            0.006535,            0.006535,            0.006535
                  16,            0.035033,           0.0056245,            0.060397,              0.8101,             0.15907,            0.094786,             0.06155,            0.032979,           0.0045811,            0.063596,           0.0062875,           0.0062875,           0.0062875
                  17,            0.034559,           0.0055207,            0.060173,             0.82099,             0.14274,            0.098222,            0.064739,            0.030402,           0.0044955,            0.062379,             0.00604,             0.00604,             0.00604
                  18,            0.033996,           0.0054079,            0.058499,             0.83776,             0.14023,             0.10038,            0.066075,            0.030385,            0.004478,            0.061454,           0.0057925,           0.0057925,           0.0057925
                  19,            0.034013,           0.0055729,            0.059153,             0.82626,             0.13954,            0.099072,            0.065065,             0.03104,           0.0046828,            0.061625,            0.005545,            0.005545,            0.005545
                  20,            0.033737,           0.0053923,            0.058504,             0.82592,             0.14255,             0.10437,            0.070219,            0.029901,           0.0043959,            0.060248,           0.0052975,           0.0052975,           0.0052975
                  21,            0.033024,           0.0052837,            0.055878,             0.85985,             0.12635,             0.10727,            0.071706,            0.029433,           0.0044371,            0.059637,             0.00505,             0.00505,             0.00505
                  22,            0.032406,           0.0053187,            0.055883,             0.85894,             0.13034,             0.11137,            0.076471,            0.028951,           0.0043532,            0.058715,           0.0048025,           0.0048025,           0.0048025
                  23,              0.0325,           0.0054395,            0.055642,             0.84823,             0.14776,             0.11207,            0.076804,            0.029437,           0.0043847,            0.058283,            0.004555,            0.004555,            0.004555
                  24,            0.032247,           0.0054043,            0.055307,             0.83952,             0.15156,             0.11565,            0.080785,            0.029028,           0.0042846,            0.057173,           0.0043075,           0.0043075,           0.0043075
                  25,            0.031793,           0.0051796,            0.053185,             0.81461,             0.15979,             0.12276,            0.086148,             0.02865,           0.0042494,            0.056667,             0.00406,             0.00406,             0.00406
                  26,            0.031872,           0.0050916,            0.052955,             0.86429,             0.14482,             0.12412,            0.086087,            0.028013,             0.00423,            0.056336,           0.0038125,           0.0038125,           0.0038125
                  27,            0.030907,           0.0051421,            0.052783,             0.87463,             0.13885,             0.12614,            0.088413,            0.027844,           0.0042463,            0.055602,            0.003565,            0.003565,            0.003565
                  28,            0.030322,           0.0051123,            0.051579,             0.86506,             0.14618,             0.12898,            0.089704,            0.027075,           0.0041956,            0.054856,           0.0033175,           0.0033175,           0.0033175
                  29,             0.03006,           0.0049981,            0.051756,             0.86638,             0.14253,             0.13294,            0.093776,            0.027206,           0.0042315,            0.054602,             0.00307,             0.00307,             0.00307
                  30,             0.02988,           0.0050531,            0.049822,             0.85701,             0.14404,              0.1347,            0.094709,            0.027598,           0.0041954,            0.053702,           0.0028225,           0.0028225,           0.0028225
                  31,            0.030077,           0.0050245,            0.051076,             0.87321,             0.14395,             0.13691,            0.096857,            0.027868,           0.0041472,            0.053069,            0.002575,            0.002575,            0.002575
                  32,            0.028898,           0.0050219,            0.049058,               0.888,             0.14353,             0.14196,             0.10228,            0.026141,           0.0040999,            0.052468,           0.0023275,           0.0023275,           0.0023275
                  33,            0.028597,           0.0048641,            0.048756,             0.88026,              0.1461,             0.14301,             0.10219,            0.025925,            0.004159,            0.052156,             0.00208,             0.00208,             0.00208
                  34,            0.028352,           0.0050188,            0.049063,             0.86681,             0.15008,             0.14402,             0.10307,            0.026581,           0.0041156,            0.051576,           0.0018325,           0.0018325,           0.0018325
